trx_year,trx_month,year_month,trx_volume,mean_price,median_price,min_price,max_price,mean_pps,median_pps,mean_area,median_area
2025,11,2025-11,1657,649424.0910561256,618000.0,278888.0,1632000.0,6984.337392878697,6492.54,93.77374773687387,93.0
2025,12,2025-12,2022,660439.405974283,635000.0,280000.0,1525000.0,6971.936824925816,6487.045,95.63600395647873,93.0
2026,1,2026-01,2337,657281.4376379974,630000.0,272000.0,1560000.0,7001.213277706461,6513.51,95.23132220795893,93.0
2026,2,2026-02,1661,656566.8332329922,622000.0,238888.0,1700000.0,6932.430644190247,6419.58,95.72010836845274,93.0
2026,3,2026-03,2040,661831.7116470588,630000.0,260000.0,1648888.0,7064.644220588236,6552.475,94.78867647058823,93.0
2026,4,2026-04,1933,657990.390067253,630000.0,263000.0,1728000.0,6974.945825142266,6489.36,95.41453698913605,93.0
2026,5,2026-05,2127,661140.8254818993,630000.0,258000.0,1630000.0,7028.18811941702,6506.85,95.14541607898448,93.0
2026,6,2026-06,2123,663715.4611398964,625000.0,248000.0,1650000.0,7066.796603862458,6513.27,95.05732454074423,93.0
2026,7,2026-07,2651,660655.1791776688,630000.0,265000.0,1580000.0,6947.414609581289,6407.41,96.38823085628066,93.0
2026,8,2026-08,2519,667258.0237713379,635000.0,272888.0,1688888.0,6979.352096069869,6466.67,96.68439857086145,93.0
2026,9,2026-09,116,680088.9655172414,650000.0,303000.0,1385000.0,7117.444224137931,6444.014999999999,96.91379310344827,93.0
